Identificatore, Italiano, Inglese
NESSUNO, Nessuno, None
NORMALMENTE_APERTO, Normalmente aperto, Normally open
NORMALMENTE_CHIUSO, Normalmente chiuso, Normally closed
GETTONIERA, Gettoniera, Coin reader
